date,open,high,low,close,volume,daily_return_pct,daily_range,ma_20,ma_50,ma_200,ema_12,ema_26,macd,macd_signal,bb_upper,bb_lower,bb_width,rsi_14,volume_ma_20,cumulative_return_pct,year,month,quarter,day_of_week
2019-08-27,144.5,147.1,143.65,146.15,54641,1.4931,3.45,146.77,151.417,149.471,145.7564,147.8824,-2.126,-2.2067,153.4021,140.1379,13.2642,47.3318,57072.35,739.48,2019,8,3,tuesday
2019-08-28,145.8,146.2,144.15,145.45,55208,-0.479,2.05,146.3075,151.331,149.4602,145.7093,147.7022,-1.993,-2.164,151.804,140.811,10.9931,42.3445,57388.1,735.46,2019,8,3,wednesday
2019-08-29,145.45,148.05,144.65,147.1,64701,1.1344,3.4,145.925,151.255,149.4797,145.9232,147.6576,-1.7344,-2.0781,149.762,142.088,7.674,53.7085,58539.85,744.94,2019,8,3,thursday
2019-08-30,147.1,150.15,147.1,148.45,64469,0.9177,3.05,145.8025,151.214,149.5085,146.312,147.7163,-1.4044,-1.9433,149.0875,142.5175,6.5699,57.1084,57293.25,752.7,2019,8,3,friday
2019-09-02,148.55,149.3,147.7,148.95,30375,0.3368,1.6,145.8825,151.198,149.5307,146.7178,147.8077,-1.0899,-1.7726,149.3961,142.3689,7.0272,55.1637,56038.7,755.57,2019,9,3,monday
2019-09-03,148.5,149.45,147.9,148.8,46640,-0.1007,1.55,145.975,151.217,149.5488,147.0381,147.8812,-0.8431,-1.5867,149.6981,142.2519,7.4462,64.6018,54978.7,754.71,2019,9,3,tuesday
2019-09-04,150.1,151.95,150.05,150.9,48406,1.4113,1.9,146.155,151.24,149.5817,147.6323,148.1048,-0.4725,-1.3639,150.4517,141.8583,8.5935,72.702,53483.85,766.77,2019,9,3,wednesday
2019-09-05,152.0,154.8,151.5,153.75,58386,1.8887,3.3,146.41,151.313,149.641,148.5735,148.523,0.0505,-1.081,151.7972,141.0228,10.7744,75.5611,54076.45,783.14,2019,9,3,thursday
2019-09-06,153.3,155.05,151.65,153.25,45813,-0.3252,3.4,146.79,151.355,149.6903,149.2929,148.8731,0.4198,-0.7809,152.9659,140.6141,12.3518,69.5775,53563.95,780.27,2019,9,3,friday
2019-09-09,153.2,156.6,153.0,156.5,52520,2.1207,3.6,147.34,151.438,149.7658,150.4017,149.4381,0.9636,-0.432,154.8478,139.8322,15.0156,81.4622,53545.8,798.93,2019,9,3,monday
2019-09-10,155.45,158.95,155.45,158.3,112024,1.1502,3.5,147.91,151.54,149.8183,151.6168,150.0945,1.5223,-0.0411,156.8681,138.9519,17.9161,81.5105,55941.1,809.27,2019,9,3,tuesday
2019-09-11,159.3,161.0,157.6,158.75,60056,0.2843,3.4,148.655,151.591,149.8795,152.7142,150.7357,1.9786,0.3628,158.6138,138.6962,19.9176,85.1852,56535.45,811.86,2019,9,3,wednesday
2019-09-12,158.5,161.1,157.7,160.15,81655,0.8819,3.4,149.525,151.639,149.9493,153.8582,151.433,2.4252,0.7753,160.317,138.733,21.5841,92.3483,56150.8,819.9,2019,9,3,thursday
2019-09-13,159.9,162.45,159.8,161.35,65197,0.7493,2.65,150.4175,151.728,150.0125,155.0108,152.1676,2.8432,1.1889,162.0326,138.8024,23.2301,93.2669,57273.6,826.79,2019,9,3,friday
2019-09-16,160.0,161.75,159.75,161.05,41421,-0.1859,2.0,151.155,151.808,150.0923,155.9399,152.8256,3.1143,1.574,163.5183,138.7917,24.7265,90.9341,57116.6,825.07,2019,9,3,monday
2019-09-17,160.45,160.6,158.05,159.7,55459,-0.8383,2.55,151.9175,151.882,150.1628,156.5184,153.3348,3.1836,1.8959,164.4199,139.4151,25.0048,87.7984,57944.6,817.32,2019,9,3,tuesday
2019-09-18,159.55,160.5,158.65,159.9,32310,0.1252,1.85,152.6025,151.992,150.2337,157.0386,153.8211,3.2175,2.1602,165.2858,139.9192,25.3667,86.7816,57564.0,818.46,2019,9,3,wednesday
2019-09-19,159.9,161.7,159.35,161.45,57310,0.9694,2.35,153.4025,152.134,150.3115,157.7173,154.3862,3.3311,2.3944,166.2041,140.6009,25.6032,86.9318,56683.15,827.37,2019,9,3,thursday
2019-09-20,161.0,162.5,161.0,161.8,170084,0.2168,1.5,154.2875,152.264,150.375,158.3454,154.9354,3.41,2.5975,166.8259,141.7491,25.0768,86.8195,62869.65,829.38,2019,9,3,friday
2019-09-23,160.8,161.3,157.95,159.2,47596,-1.6069,3.35,155.0475,152.309,150.4485,158.4769,155.2513,3.2256,2.7231,166.7769,143.3181,23.4589,76.1306,62213.55,814.44,2019,9,3,monday
2019-09-24,158.85,159.9,154.4,155.5,110645,-2.3241,5.5,155.515,152.269,150.505,158.0189,155.2697,2.7492,2.7284,166.4711,144.5589,21.9122,60.6977,65013.75,793.19,2019,9,3,tuesday
2019-09-25,154.5,155.65,153.25,155.0,57554,-0.3215,2.4,155.9925,152.266,150.5885,157.5545,155.2497,2.3047,2.6436,165.8821,146.1029,19.7792,53.2637,65131.05,790.32,2019,9,3,wednesday
2019-09-26,155.05,157.1,154.9,155.6,53277,0.3871,2.2,156.4175,152.32,150.661,157.2538,155.2757,1.9781,2.5105,165.3857,147.4493,17.9364,56.1039,64559.85,793.76,2019,9,3,thursday
2019-09-27,155.85,157.25,155.85,156.85,35121,0.8033,1.4,156.8375,152.388,150.7497,157.1917,155.3923,1.7994,2.3683,164.9837,148.6913,16.2924,51.0145,63092.45,800.94,2019,9,3,friday
2019-09-30,156.0,157.8,155.2,157.7,57990,0.5419,2.6,157.275,152.453,150.8227,157.2699,155.5632,1.7066,2.236,164.5286,150.0214,14.5071,48.1595,64473.2,805.83,2019,9,3,monday
2019-10-01,157.75,159.3,154.55,155.15,73168,-1.617,4.75,157.5925,152.357,150.8575,156.9437,155.5326,1.4111,2.071,163.7585,151.4265,12.332,40.2174,65799.6,791.18,2019,10,4,tuesday
2019-10-02,154.15,154.85,150.55,150.55,76529,-2.9649,4.3,157.575,152.141,150.8607,155.9601,155.1635,0.7965,1.8161,163.8224,151.3276,12.4948,27.7778,67205.75,764.76,2019,10,4,wednesday
2019-10-04,150.25,150.5,147.5,148.45,107998,-1.3949,3.0,157.31,151.946,150.8705,154.8047,154.6662,0.1384,1.4806,164.6027,150.0173,14.5854,21.3333,69686.35,752.7,2019,10,4,friday
2019-10-07,148.1,149.35,147.0,149.05,42609,0.4042,2.35,157.1,151.753,150.8857,153.9193,154.2502,-0.3309,1.1183,165.0932,149.1068,15.9864,23.6842,69526.15,756.14,2019,10,4,monday
2019-10-08,149.65,150.55,147.8,149.5,71203,0.3019,2.75,156.75,151.589,150.9072,153.2394,153.8983,-0.6589,0.7628,165.4368,148.0632,17.3735,26.7123,70460.3,758.73,2019,10,4,tuesday
2019-10-09,149.2,151.5,148.55,150.1,64533,0.4013,2.95,156.34,151.473,150.9293,152.7565,153.617,-0.8605,0.4382,165.4809,147.1991,18.2818,28.027,68085.75,762.17,2019,10,4,wednesday
2019-10-10,151.6,154.55,151.15,153.8,65174,2.465,3.4,156.0925,151.455,150.9818,152.917,153.6305,-0.7135,0.2078,165.2267,146.9583,18.2684,34.3558,68341.65,783.43,2019,10,4,thursday
2019-10-11,154.8,161.0,152.9,161.0,113729,4.6814,8.1,156.135,151.58,151.0643,154.1605,154.1764,-0.0159,0.1631,165.3562,146.9138,18.4424,48.722,69945.35,824.78,2019,10,4,friday
2019-10-14,160.2,162.55,158.95,162.35,95904,0.8385,3.6,156.185,151.809,151.195,155.4205,154.7819,0.6386,0.2582,165.5352,146.8348,18.7004,55.2413,71480.7,832.54,2019,10,4,monday
2019-10-15,163.5,165.0,162.35,164.1,100322,1.0779,2.65,156.3375,152.144,151.32,156.7558,155.4721,1.2837,0.4633,166.1117,146.5633,19.5484,65.3025,74425.75,842.59,2019,10,4,tuesday
2019-10-16,163.65,168.35,163.4,167.75,170361,2.2242,4.95,156.74,152.56,151.4778,158.4472,156.3816,2.0656,0.7837,167.6895,145.7905,21.8991,70.4,80170.85,863.55,2019,10,4,wednesday
2019-10-17,167.2,170.75,166.9,169.5,129748,1.0432,3.85,157.22,153.004,151.6473,160.1476,157.3533,2.7943,1.1859,169.5122,144.9278,24.5843,71.4506,85042.75,873.61,2019,10,4,thursday
2019-10-18,165.1,169.05,163.15,167.85,99680,-0.9734,5.9,157.54,153.388,151.782,161.3326,158.1309,3.2018,1.589,170.6048,144.4752,26.1295,66.7683,87161.25,864.13,2019,10,4,friday
2019-10-21,167.9,170.1,167.5,169.25,54460,0.8341,2.6,157.9125,153.86,151.9173,162.5507,158.9545,3.5962,1.9905,171.8822,143.9428,27.9393,67.3164,81380.05,872.17,2019,10,4,monday
2019-10-22,169.65,170.4,168.9,169.8,45974,0.325,1.5,158.4425,154.346,152.0483,163.6659,159.7579,3.9081,2.374,173.3881,143.4969,29.8911,73.3653,81298.95,875.33,2019,10,4,tuesday
2019-10-23,168.35,170.25,167.35,170.05,40309,0.1472,2.9,159.17,154.809,152.1615,164.6481,160.5202,4.1279,2.7248,174.908,143.432,31.4759,86.1111,77782.15,876.77,2019,10,4,wednesday
2019-10-24,169.95,172.45,169.9,172.0,73583,1.1467,2.55,160.02,155.372,152.287,165.7792,161.3706,4.4086,3.0615,176.6223,143.4177,33.2045,93.8548,78583.6,887.97,2019,10,4,thursday
2019-10-25,171.8,172.8,170.15,170.8,67226,-0.6977,2.65,160.78,155.933,152.4115,166.5516,162.0691,4.4825,3.3457,177.9135,143.6465,34.2669,89.6175,79281.05,881.07,2019,10,4,friday
